Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx:25,Text,Minor,"The PDF uses standard quotes and apostrophes around ""IWR"", ""RMC"", and ""HEC"" and in ""IWR's"", but the MDX shows garbled characters (ƒ?o/ƒ??, ƒ?Ts).","Replace the garbled characters with standard quotes and apostrophes to match the PDF (e.g., ""IWR"", ""RMC"", ""HEC"", ""IWR's"").",No,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx:35,Text,Minor,"The bullet uses a garbled apostrophe in ""IWR's"" (shown as ƒ?Ts) instead of a standard apostrophe as in the PDF.",Replace the garbled apostrophe with a standard apostrophe to match the PDF.,No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx:49,Text,Minor,"The PDF shows ""AS IS"" in standard quotes, but the MDX uses garbled quote characters (ƒ?oAS IS,ƒ??).",Replace the garbled quote characters with standard quotes to match the PDF.,No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx:57,Text,Minor,"The PDF uses a standard apostrophe in ""GOVERNMENT'S"", but the MDX shows a garbled character (ƒ?TS).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/02-terms-and-conditions-for-use.mdx:64,Text,Minor,"The PDF uses a standard apostrophe in ""attorneys'"", but the MDX shows a garbled character (ƒ?T).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:31,Text,Minor,"The PDF shows ""Enable Content"" in standard quotes, but the MDX uses garbled quote characters (ƒ?oEnable Contentƒ??).",Replace the garbled quote characters with standard quotes to match the PDF.,No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:32,Text,Minor,"The PDF uses a standard apostrophe in ""computer's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:39,Figure,Minor,"The Figure 1 caption uses garbled quote characters around ""Enable Content"" instead of standard quotes as in the PDF.",Replace the garbled quote characters with standard quotes in the Figure 1 caption to match the PDF.,No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:56,Text,Minor,"The PDF uses a standard dash after ""MAJOR"", but the MDX shows a garbled character (ƒ?).""",Replace the garbled character with a standard dash to match the PDF.,No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:58,Text,Minor,"The PDF uses a standard dash after ""MINOR"", but the MDX shows a garbled character (ƒ?).""",Replace the garbled character with a standard dash to match the PDF.,No,No
