Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/00-document-info.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/00-document-info.mdx:8,Text,Major,"The abstract contains garbled quote characters around the phrase continuing erosion, which does not match the PDF typography.","Replace the garbled quote characters with standard quotes around continuing erosion.",No,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/00-version-history.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/00-version-history.mdx:17,Text,Major,"The PDF does not include a Version History section/page, but the MDX includes a Version History page with a table.","Remove this MDX page or replace it with content that appears in the PDF; confirm with the source owner if a Version History page is intended.",No,Yes
3,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/01-preface.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/01-preface.mdx:15,Text,Major,"The H1 heading is Introduction, but this section is the Preface and should remain Preface per QC rules.","Change the H1 heading to Preface.",No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx:21,Text,Major,"The sentence introducing IWR, RMC, HEC, and IWR Software contains garbled quote characters and apostrophes.","Replace the garbled characters so the sentence reads with normal quotes and apostrophes (e.g., IWR, RMC, HEC, and IWR Software).",No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx:27,Text,Major,"The phrase IWRs technical centers uses a garbled apostrophe and does not render as IWR's.","Replace the garbled character so the text reads IWR's technical centers.",No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx:37,Text,Major,"The phrase AS IS contains garbled quote characters.","Replace the garbled characters with normal quotes around AS IS.",No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx:41,Text,Major,"The phrase UNITED STATES GOVERNMENT'S has a garbled apostrophe.","Replace the garbled character so the text reads GOVERNMENT'S.",No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/02-terms-and-conditions-for-use.mdx:45,Text,Major,"The phrase attorneys' fees has a garbled apostrophe.","Replace the garbled character so the text reads attorneys' fees.",No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx:29,Text,Major,"The phrase Enable Content contains garbled quote characters.","Replace the garbled characters with normal quotes around Enable Content.",No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/filter-evaluation-continuation/v1.0/03-general-overview.mdx:30,Text,Major,"The word computer's has a garbled apostrophe.","Replace the garbled character so the text reads computer's.",No,No
