Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/00-version-history.mdx,TableVersionHistory approvedBy,Text,Minor,"Approved by listed as ""Nathan Snorteland""; PDF shows ""Nate Snorteland""",,Yes,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Equation 1,Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Equation 2,Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Paragraph referencing probability tables,Citation,Major,"PDF cites ""Fell et al. (2008)"" for probability tables, but MDX has only <Citation citationKey=""Fell2008"" /> with no raw reference text.",,No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Figure 8 caption,Citation,Major,"Caption includes ""Fell et al. 2015"" but no <Citation> component is present in the caption.",,No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 3,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 5,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 3 where block,MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 4 where block,MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/06-horizontal-crack.mdx,Figure 31 caption,Figure,Minor,Caption typo: geoemetry,,No,No
