Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:30,Citation,Major,"The PDF shows Figure 8 (Fannin and Slangen 2014), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to include Fannin and Slangen (2014) and keep <Citation citationKey=""Fannin2014"" />.",No,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:36,Citation,Major,"The PDF Figure 8 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Fannin2014"" /> to the Figure 8 caption (keep the existing author-year text).",No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:48,Citation,Major,"The PDF Figure 9 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Fannin2014"" /> to the Figure 9 caption (keep the existing author-year text).",No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:57,Citation,Major,"The PDF lists the Burenkova (1993) method, but the MDX bullet only includes a <Citation> without the author-year text.","Update the bullet to Burenkova (1993) method and keep <Citation citationKey=""Burenkova1993"" />.",No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:59,Citation,Major,"The PDF lists the modified Burenkova method of Wan and Fell (2004), but the MDX bullet only includes a <Citation> without the author-year text.","Update the bullet to modified Burenkova method of Wan and Fell (2004) and keep <Citation citationKey=""Wan2004"" />.",No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:61,Citation,Major,"The PDF lists the alternative method of Wan and Fell (2008), but the MDX bullet uses citationKey=""Fell2008"" and omits the author-year text.","Update the bullet to alternative method of Wan and Fell (2008) and use <Citation citationKey=""Wan2008"" />.",No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:63,Citation,Major,"The PDF lists the modified Kenney and Lau method of Li and Fannin (2008), but the MDX bullet only includes a <Citation> without the author-year text.","Update the bullet to modified Kenney and Lau method of Li and Fannin (2008) and keep <Citation citationKey=""LiFannin2008"" />.",No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/04-background.mdx:65,Citation,Major,"The PDF lists the suggested method for mechanism and amount of erosion of Douglas et al. (2019), but the MDX bullet only includes a <Citation> without the author-year text.","Update the bullet to suggested method for mechanism and amount of erosion of Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx:30,Citation,Major,"The PDF uses Sherard (1979), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Sherard (1979) and keep <Citation citationKey=""Sherard1979"" />.",No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx:43,Citation,Major,"The PDF Figure 18 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Sherard1979"" /> to the Figure 18 caption (keep the existing author-year text).",No,No
